% f (Hz),	G_rec (dB),	T_e_rec (K)	
1464766592.000000,	56.569366,	7.480428
1465765248.000000,	56.571922,	7.486023
1466763904.000000,	56.568515,	7.486783
1467762688.000000,	56.566430,	7.363293
1468761344.000000,	56.573447,	7.534941
1469760000.000000,	56.565088,	7.371225
1470758784.000000,	56.553531,	7.487673
1471757440.000000,	56.570290,	7.464958
1472756224.000000,	56.558441,	7.530734
1473754880.000000,	56.575764,	7.474000
1474753536.000000,	56.581507,	7.371725
1475752320.000000,	56.562719,	7.440200
1476750976.000000,	56.581217,	7.329383
1477749632.000000,	56.561207,	7.541687
1478748416.000000,	56.580548,	7.506732
1479747072.000000,	56.576952,	7.667267
1480745728.000000,	56.581563,	7.740317
1481744512.000000,	56.600125,	7.695307
1482743168.000000,	56.600368,	7.635355
1483741952.000000,	56.615231,	7.738349
1484740608.000000,	56.624265,	7.769649
1485739264.000000,	56.641328,	7.760108
1486738048.000000,	56.639860,	7.886728
1487736704.000000,	56.664591,	7.782938
1488735360.000000,	56.670081,	7.767222
1489734144.000000,	56.670576,	7.723114
1490732800.000000,	56.648241,	7.875278
1491731456.000000,	56.650890,	7.833775
1492730240.000000,	56.645359,	7.861660
1493728896.000000,	56.662448,	7.670760
1494727680.000000,	56.636973,	7.778154
1495726336.000000,	56.654231,	7.647494
1496724992.000000,	56.650467,	7.634791
1497723776.000000,	56.648945,	7.495131
1498722432.000000,	56.645541,	7.666468
1499721088.000000,	56.648942,	7.538744
1500719872.000000,	56.634897,	7.616725
1501718528.000000,	56.631554,	7.709679
1502717312.000000,	56.630775,	7.842976
1503715968.000000,	56.641256,	7.546489
1504714624.000000,	56.648351,	7.582636
1505713408.000000,	56.656244,	7.518894
1506712064.000000,	56.649855,	7.652954
1507710720.000000,	56.670167,	7.561935
1508709504.000000,	56.674412,	7.661309
1509708160.000000,	56.687168,	7.636682
1510706816.000000,	56.689039,	7.621978
1511705600.000000,	56.716885,	7.380789
1512704256.000000,	56.700043,	7.449736
1513703040.000000,	56.697574,	7.639151
1514701696.000000,	56.709514,	7.748513
1515700352.000000,	56.726365,	7.602124
1516699136.000000,	56.717641,	7.566881
1517697792.000000,	56.708461,	7.728398
1518696448.000000,	56.716098,	7.746109
1519695232.000000,	56.724420,	7.658336
1520693888.000000,	56.712032,	7.660701
1521692544.000000,	56.693182,	7.829667
1522691328.000000,	56.690393,	7.736281
1523689984.000000,	56.691463,	7.716538
