% f (Hz),G_rec (dB),T_e_rec (K)
1625000000,  56.23,   9.62
1626000000,  56.22,   9.60
1627000000,  56.21,   9.52
1628000000,  56.20,   9.50
1629000000,  56.18,   9.55
1630000000,  56.18,   9.60
1631000000,  56.18,   9.62
1632000000,  56.16,   9.62
1633000000,  56.16,   9.66
1634000000,  56.14,   9.55
1635000000,  56.13,   9.51
1636000000,  56.13,   9.62
1637000000,  56.12,   9.64
1638000000,  56.11,   9.58
1639000000,  56.10,   9.57
1640000000,  56.09,   9.63
1641000000,  56.09,   9.61
1642000000,  56.07,   9.57
1643000000,  56.06,   9.68
1644000000,  56.05,   9.71
1645000000,  56.03,   9.69
1646000000,  56.04,   9.67
1647000000,  56.03,   9.60
1648000000,  56.01,   9.66
1649000000,  56.01,   9.68
1650000000,  56.01,   9.66
1651000000,  56.00,   9.72
1652000000,  55.99,   9.74
1653000000,  55.98,   9.66
1654000000,  55.98,   9.62
1655000000,  55.97,   9.66
1656000000,  55.95,   9.65
1657000000,  55.95,   9.68
1658000000,  55.95,   9.74
1659000000,  55.94,   9.82
1660000000,  55.93,   9.89
1661000000,  55.93,   9.88
1662000000,  55.93,   9.85
1663000000,  55.93,   9.86
1664000000,  55.92,   9.92
1665000000,  55.93,   9.96
1666000000,  55.92,  10.01
1667000000,  55.92,  10.11
1668000000,  55.92,  10.15
1669000000,  55.92,  10.21
1670000000,  55.91,  10.36
