|#SOURCE_ID|RA|DEC|NVSS_FLUX|INT_SPEC_INDX|3C_NAME|PKS_JNAME|PKS_1410_FLUX|PKS_635_FLUX|PKS_408_FLUX|PKS_SPEC_INDX 
594|540406|125.224361|-36.217633|4.507874|0.953019|No-3C|No-PKS|0.0|0.0|0.0|0.0
595|540486|126.527235|-35.546725|1.049185|-0.645971|No-3C|No-PKS|0.0|0.0|0.0|0.0
596|542271|227.723127|-5.718673|3.668024|-0.437324|No-3C|PKS-J1510-0543|3.9|0.0|7.72|-0.406009
597|545231|36.834329|-30.630281|1.156587|-0.691221|No-3C|PKS-J0227-3037|0.0|0.0|3.2|-0.650926
598|546886|4.907555|20.362604|1.014986|0.392143|No-3C|PKS-J0019+2021|0.0|0.0|0.0|0.0
599|550388|165.629747|-9.690346|1.292055|-0.728944|No-3C|PKS-J1102-0941|0.0|0.0|3.54|-0.638606
600|550447|162.885206|-9.308932|1.081563|-0.698851|3C246|PKS-J1051-0918|1.7|0.0|5.35|-0.836329
601|550449|162.876913|-9.304041|2.05857|-0.718935|3C246|PKS-J1051-0918|1.7|0.0|5.35|-0.836329
602|551273|285.705524|-23.497988|3.738543|-0.947322|No-3C|PKS-J1902-2329|0.0|0.0|10.9|-0.853998
603|552282|172.55847|-13.332381|1.148425|-0.879468|No-3C|PKS-J1130-1320|0.0|0.0|2.53|-0.957902
604|553257|318.514331|-35.044083|1.098128|-0.95536|No-3C|PKS-J2114-3502|1.1|0.0|3.62|-0.852696
605|558357|18.021047|14.731448|1.470342|-0.870419|No-3C|PKS-J0112+1443|1.5|0.0|4.69|-0.959806
606|558488|18.253199|15.492516|1.026332|-0.67981|No-3C|PKS-J0112+1529|1.0|0.0|4.4|-0.756603
607|559636|173.598345|-17.464417|1.682655|-0.811346|No-3C|PKS-J1134-1727|1.5|0.0|5.81|-0.848964
608|559984|172.529364|-14.824258|5.69672|0.256756|No-3C|PKS-J1130-1449|6.4|0.0|5.07|0.208425
609|561985|29.197758|-36.269229|1.321002|-0.767569|No-3C|PKS-J0156-3616|1.37|0.0|3.99|-0.919807
610|563937|251.426981|2.195882|2.024942|-0.77883|No-3C|PKS-J1645+0211|1.94|2.3|5.52|-0.741703
611|564019|252.132661|2.713845|1.063161|-0.827978|No-3C|PKS-J1648+0242|1.15|2.8|3.38|-0.675124
612|564352|252.787116|4.991248|47.255966|-0.93912|3C348|PKS-J1651+0459|47.0|0.0|169.0|-0.986481
613|565706|114.825188|1.617892|2.025013|0.028665|No-3C|PKS-J0739+0137|2.2|0.0|2.84|-0.136221
614|565790|48.837624|10.211983|1.663464|-0.691681|No-3C|PKS-J0315+1012|1.5|0.0|4.44|-0.73574
615|566948|38.224626|-6.764826|1.430268|-0.682504|No-3C|PKS-J0232-0646|1.4|0.0|3.96|-0.837392
616|567073|35.226176|-1.947767|3.529299|-0.854388|3C63|PKS-J0220-0156|3.54|7.8|11.8|-0.832652
617|567290|36.283666|-0.592194|1.201219|-0.619317|No-3C|PKS-J0225-0035|1.08|1.3|3.15|-0.653543
618|567847|53.561254|-1.188887|2.675435|-0.914258|3C89|PKS-J0334-0111|3.17|5.5|8.66|-0.964926
