#SOURCE_ID | RA | DEC | NVSS_FLUX | INT_SPEC_INDX | 3C_NAME | PKS_JNAME | PKS_1410_FLUX | PKS_635_FLUX | PKS_408_FLUX | PKS_SPEC_INDX 
139108|258.545805|-38.179184|6.905239|-0.524098|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
182480|214.784079|6.476684|6.172105|-1.058299|3C298|PKS-J1419+0628|6.300000|0.000000|23.400000|-0.995451
182481|214.784079|6.476684|6.177994|-1.057930|3C298|PKS-J1419+0628|6.300000|0.000000|23.400000|-0.995451
210155|308.948262|-34.900447|5.901047|-0.744553|No-3C|PKS-J2035-3454|5.700000|0.000000|17.600000|-0.702760
214516|40.033942|-23.154477|6.396847|0.693325|No-3C|PKS-J0240-2309|4.400000|0.000000|3.670000|-0.173726
216803|193.654121|-12.558504|7.705525|-0.556070|3C278|PKS-J1254-1233|7.340000|13.400000|14.700000|-0.654970
217584|295.312401|-15.408690|6.881021|-0.604292|No-3C|PKS-J1941-1524|7.000000|0.000000|16.000000|-0.565895
226614|51.978140|2.559885|5.042829|-0.559356|No-3C|PKS-J0327+0233|4.700000|7.900000|10.900000|-0.626005
252289|202.657054|25.153032|7.139390|-0.454746|3C287|PKS-J1330+2509|7.000000|12.000000|0.000000|-0.433086
259634|258.238754|-28.159991|5.234124|-0.871115|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
288722|277.745661|-36.042154|7.416634|-0.894708|No-3C|PKS-J1830-3602|7.400000|0.000000|25.800000|-0.418970
293442|9.585007|-2.127960|6.191835|-0.695603|3C17|PKS-J0038-0207|6.400000|0.000000|16.500000|-0.660146
295998|194.046434|-5.788942|9.808958|-0.323171|3C279|PKS-J1256-0547|11.600000|14.300000|14.500000|-0.287297
313042|333.605265|-17.027314|8.862838|-0.926109|3C444|PKS-J2214-1701|8.600000|0.000000|28.700000|-0.964085
315430|85.429100|-1.906590|48.420456|1.170553|No-3C|PKS-J0541-0154|50.000000|0.000000|450.000000|0.117138
318676|281.906377|-1.936799|21.746267|2.101258|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
318691|280.386713|-1.880648|5.979164|-0.877915|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
322019|279.607370|17.198980|7.088984|-0.666082|3C386|PKS-J1838+1711|7.100000|0.000000|14.600000|-0.641228
325973|262.669927|-21.487627|14.890945|-0.639116|3C358|PKS-J1730-2129|14.000000|0.000000|0.000000|-0.661712
334225|229.185695|7.021629|5.575236|-1.042670|3C317|PKS-J1516+0701|5.800000|0.000000|25.200000|-1.070475
334226|229.185695|7.021629|5.582089|-1.042114|3C317|PKS-J1516+0701|5.800000|0.000000|25.200000|-1.070475
360396|57.906622|-27.739148|5.707339|-0.644707|No-3C|PKS-J0351-2744|5.300000|0.000000|15.800000|-0.792004
374699|192.099944|-19.988535|5.238620|-0.036936|No-3C|PKS-J1248-1959|4.900000|0.000000|8.610000|-0.018743
