% f (Hz),G_rec (dB),T_e_rec (K)
1413000000,  56.46,  12.15
1414000000,  56.46,  12.22
1415000000,  56.46,  12.59
1416000000,  56.45,  12.68
1417000000,  56.44,  12.84
1418000000,  56.43,  12.93
1419000000,  56.43,  12.93
1420000000,  56.43,  13.01
1421000000,  56.43,  12.84
1422000000,  56.42,  12.67
1423000000,  56.44,  12.64
1424000000,  56.43,  12.51
1425000000,  56.44,  12.31
1426000000,  56.44,  11.93
1427000000,  56.44,  11.88
1428000000,  56.44,  11.63
1429000000,  56.43,  11.36
1430000000,  56.43,  11.22
1431000000,  56.43,  11.24
1432000000,  56.42,  11.10
1433000000,  56.41,  10.94
1434000000,  56.41,  10.99
1435000000,  56.40,  10.91
1436000000,  56.40,  10.86
1437000000,  56.39,  10.74
1438000000,  56.39,  10.83
1439000000,  56.38,  10.82
1440000000,  56.38,  10.86
1441000000,  56.38,  10.81
1442000000,  56.37,  10.90
1443000000,  56.35,  11.00
1444000000,  56.35,  11.13
1445000000,  56.35,  11.16
1446000000,  56.34,  11.15
1447000000,  56.33,  11.18
1448000000,  56.32,  11.08
1449000000,  56.32,  10.99
1450000000,  56.30,  11.12
1451000000,  56.30,  11.14
1452000000,  56.29,  11.21
1453000000,  56.27,  11.14
1454000000,  56.27,  11.22
1455000000,  56.27,  11.20
1456000000,  56.26,  11.08
1457000000,  56.26,  11.01
1458000000,  56.24,  10.97
1459000000,  56.24,  11.04
1460000000,  56.23,  11.07
1461000000,  56.24,  10.96
1462000000,  56.23,  10.96
1463000000,  56.22,  10.80
1464000000,  56.21,  10.89
1465000000,  56.20,  10.86
1466000000,  56.19,  10.85
1467000000,  56.19,  10.92
1468000000,  56.19,  10.75
1469000000,  56.18,  10.80
1470000000,  56.16,  10.73
1471000000,  56.16,  10.81
1472000000,  56.15,  10.85
1473000000,  56.15,  10.97
1474000000,  56.14,  10.94
1475000000,  56.13,  10.90
1476000000,  56.12,  10.84
1477000000,  56.13,  10.85
1478000000,  56.11,  10.96
1479000000,  56.11,  10.93
1480000000,  56.11,  10.86
1481000000,  56.11,  10.81
1482000000,  56.12,  10.93
1483000000,  56.12,  10.98
1484000000,  56.10,  11.06
1485000000,  56.10,  10.95
1486000000,  56.10,  10.96
1487000000,  56.10,  11.01
1488000000,  56.11,  10.97
1489000000,  56.09,  10.92
1490000000,  56.09,  11.11
1491000000,  56.10,  11.10
1492000000,  56.09,  10.99
1493000000,  56.09,  10.99
1494000000,  56.09,  11.14
1495000000,  56.09,  11.04
1496000000,  56.09,  11.11
1497000000,  56.08,  11.14
1498000000,  56.08,  11.05
1499000000,  56.08,  11.05
1500000000,  56.07,  11.02
1501000000,  56.07,  11.05
1502000000,  56.08,  11.02
1503000000,  56.07,  10.91
1504000000,  56.07,  10.87
1505000000,  56.07,  10.94
1506000000,  56.06,  11.02
1507000000,  56.08,  11.06
1508000000,  56.08,  10.92
1509000000,  56.07,  10.91
1510000000,  56.08,  10.86
1511000000,  56.08,  10.85
1512000000,  56.09,  10.83
1513000000,  56.09,  10.89
1514000000,  56.09,  10.91
1515000000,  56.09,  10.86
1516000000,  56.09,  10.84
1517000000,  56.10,  10.72
1518000000,  56.10,  10.90
1519000000,  56.10,  10.87
1520000000,  56.11,  10.82
1521000000,  56.11,  10.77
1522000000,  56.11,  10.84
1523000000,  56.12,  10.78
1524000000,  56.12,  10.65
1525000000,  56.12,  10.75
1526000000,  56.12,  10.80
1527000000,  56.13,  10.80
1528000000,  56.12,  10.84
1529000000,  56.13,  10.72
1530000000,  56.12,  10.75
1531000000,  56.13,  10.73
1532000000,  56.13,  10.73
1533000000,  56.12,  10.68
1534000000,  56.12,  10.63
1535000000,  56.13,  10.61
1536000000,  56.12,  10.55
1537000000,  56.13,  10.51
1538000000,  56.13,  10.46
1539000000,  56.11,  10.43
1540000000,  56.11,  10.48
1541000000,  56.12,  10.38
1542000000,  56.12,  10.31
1543000000,  56.11,  10.30
1544000000,  56.11,  10.40
1545000000,  56.10,  10.37
1546000000,  56.10,  10.30
1547000000,  56.10,  10.26
1548000000,  56.09,  10.16
1549000000,  56.09,  10.14
1550000000,  56.10,  10.14
1551000000,  56.08,  10.02
1552000000,  56.07,  10.14
1553000000,  56.08,  10.19
1554000000,  56.07,  10.08
1555000000,  56.07,  10.04
1556000000,  56.06,  10.04
1557000000,  56.06,  10.05
1558000000,  56.05,  10.18
1559000000,  56.05,  10.16
1560000000,  56.04,  10.06
1561000000,  56.03,  10.12
1562000000,  56.02,  10.04
1563000000,  56.01,   9.99
1564000000,  56.00,  10.08
1565000000,  56.00,  10.03
1566000000,  55.99,  10.04
1567000000,  55.97,  10.04
1568000000,  55.96,   9.97
1569000000,  55.98,  10.06
1570000000,  55.95,  10.07
1571000000,  55.93,  10.09
1572000000,  55.93,  10.01
1573000000,  55.93,  10.01
1574000000,  55.92,  10.19
1575000000,  55.90,  10.22
1576000000,  55.90,  10.19
1577000000,  55.88,  10.12
1578000000,  55.88,  10.07
1579000000,  55.87,  10.14
1580000000,  55.86,  10.22
1581000000,  55.85,  10.19
1582000000,  55.83,  10.20
1583000000,  55.82,  10.13
1584000000,  55.81,  10.18
1585000000,  55.80,  10.20
1586000000,  55.79,  10.36
1587000000,  55.78,  10.38
1588000000,  55.77,  10.35
1589000000,  55.75,  10.35
1590000000,  55.74,  10.34
1591000000,  55.73,  10.40
1592000000,  55.71,  10.43
1593000000,  55.69,  10.40
1594000000,  55.69,  10.50
1595000000,  55.68,  10.59
1596000000,  55.67,  10.53
1597000000,  55.65,  10.53
1598000000,  55.64,  10.53
1599000000,  55.63,  10.53
1600000000,  55.64,  10.62
1601000000,  55.62,  10.69
1602000000,  55.60,  10.64
1603000000,  55.60,  10.71
1604000000,  55.59,  10.68
1605000000,  55.58,  10.68
1606000000,  55.56,  10.77
1607000000,  55.55,  10.88
1608000000,  55.53,  10.75
1609000000,  55.52,  10.75
1610000000,  55.50,  10.79
1611000000,  55.50,  10.75
1612000000,  55.48,  10.80
1613000000,  55.46,  10.86
1614000000,  55.46,  10.85
1615000000,  55.45,  10.94
1616000000,  55.43,  10.99
1617000000,  55.42,  11.00
1618000000,  55.42,  10.96
1619000000,  55.42,  10.92
1620000000,  55.40,  10.93
1621000000,  55.39,  10.86
1622000000,  55.40,  10.83
1623000000,  55.39,  10.88
1624000000,  55.38,  10.86
1625000000,  55.39,  10.74
1626000000,  55.39,  10.71
1627000000,  55.38,  10.75
1628000000,  55.38,  10.69
1629000000,  55.36,  10.66
1630000000,  55.36,  10.69
1631000000,  55.36,  10.75
1632000000,  55.34,  10.72
1633000000,  55.35,  10.61
1634000000,  55.33,  10.51
1635000000,  55.32,  10.48
1636000000,  55.32,  10.47
1637000000,  55.31,  10.47
1638000000,  55.30,  10.47
1639000000,  55.30,  10.35
1640000000,  55.30,  10.35
1641000000,  55.31,  10.39
1642000000,  55.29,  10.35
1643000000,  55.30,  10.32
1644000000,  55.29,  10.28
1645000000,  55.29,  10.30
1646000000,  55.30,  10.22
1647000000,  55.30,  10.16
1648000000,  55.29,  10.16
1649000000,  55.30,  10.17
1650000000,  55.31,  10.16
1651000000,  55.31,  10.14
1652000000,  55.32,  10.18
1653000000,  55.31,  10.16
1654000000,  55.32,  10.11
1655000000,  55.32,  10.14
1656000000,  55.31,  10.17
1657000000,  55.32,  10.17
1658000000,  55.32,  10.26
1659000000,  55.32,  10.24
1660000000,  55.32,  10.17
1661000000,  55.32,  10.19
1662000000,  55.33,  10.22
1663000000,  55.34,  10.30
1664000000,  55.33,  10.37
1665000000,  55.34,  10.37
1666000000,  55.34,  10.39
1667000000,  55.35,  10.36
1668000000,  55.36,  10.34
1669000000,  55.36,  10.46
1670000000,  55.36,  10.57
