% f (Hz),G_rec (dB),T_e_rec (K)
1569000000,  57.28,   8.08
1570000000,  57.25,   8.17
1571000000,  57.24,   8.21
1572000000,  57.24,   8.17
1573000000,  57.23,   8.18
1574000000,  57.22,   8.24
1575000000,  57.21,   8.21
1576000000,  57.21,   8.21
1577000000,  57.20,   8.20
1578000000,  57.19,   8.33
1579000000,  57.18,   8.29
1580000000,  57.17,   8.34
1581000000,  57.16,   8.25
1582000000,  57.15,   8.25
1583000000,  57.14,   8.35
1584000000,  57.13,   8.33
1585000000,  57.13,   8.29
1586000000,  57.12,   8.39
1587000000,  57.12,   8.32
1588000000,  57.10,   8.29
1589000000,  57.09,   8.36
1590000000,  57.08,   8.33
1591000000,  57.08,   8.38
1592000000,  57.06,   8.39
1593000000,  57.05,   8.34
1594000000,  57.05,   8.37
1595000000,  57.04,   8.35
1596000000,  57.03,   8.44
1597000000,  57.02,   8.53
1598000000,  57.01,   8.50
1599000000,  57.00,   8.42
1600000000,  57.01,   8.39
1601000000,  56.99,   8.44
1602000000,  56.98,   8.52
1603000000,  56.97,   8.57
1604000000,  56.96,   8.59
1605000000,  56.95,   8.59
1606000000,  56.94,   8.59
1607000000,  56.93,   8.61
1608000000,  56.92,   8.64
1609000000,  56.91,   8.67
1610000000,  56.88,   8.59
1611000000,  56.88,   8.57
1612000000,  56.86,   8.59
1613000000,  56.84,   8.63
1614000000,  56.84,   8.72
1615000000,  56.83,   8.68
1616000000,  56.82,   8.66
1617000000,  56.81,   8.70
1618000000,  56.80,   8.66
1619000000,  56.80,   8.72
1620000000,  56.78,   8.88
1621000000,  56.77,   8.88
1622000000,  56.77,   8.84
1623000000,  56.76,   8.87
1624000000,  56.75,   8.70
1625000000,  56.75,   8.67
1626000000,  56.74,   8.75
1627000000,  56.74,   8.76
1628000000,  56.73,   8.84
1629000000,  56.71,   8.82
1630000000,  56.71,   8.78
1631000000,  56.71,   8.76
1632000000,  56.69,   8.80
1633000000,  56.69,   8.77
1634000000,  56.67,   8.74
1635000000,  56.67,   8.76
1636000000,  56.66,   8.71
1637000000,  56.66,   8.71
1638000000,  56.64,   8.79
